time_ms,signal
0.0,0.0
0.1,0.49396164555524336
0.2,0.8380749206340301
0.3,0.9357072839711122
0.4,0.7756332050478714
0.5,0.4310483043180242
0.6,0.027104049749389708
0.7,-0.3085505471698348
0.8,-0.4914867209083249
0.9,-0.5045303578850274
1.0,-0.39245525376613627
1.1,-0.23265389333939712
1.2,-0.09694351730203532
1.3,-0.022163154559454445
1.4,-0.0016458907164978581
1.5,0.0010227913585448278
1.6,0.025142751477575997
1.7,0.08769399512504028
1.8,0.17271653157379305
1.9,0.24014706348068698
2.0,0.24882450158345637
2.1,0.18113865936753154
2.2,0.0559920218236364
2.3,-0.07729709858313617
2.4,-0.16178107090451038
2.5,-0.16129921010995973
2.6,-0.08016108254410068
2.7,0.03644423355698983
2.8,0.12263823381278291
2.9,0.1237562923073384
3.0,0.024848203231032207
3.1,-0.13842537750939365
3.2,-0.2928515799311568
3.3,-0.3597944176629099
3.4,-0.29215687642636756
3.5,-0.09898479223870128
3.6,0.1544273080397414
3.7,0.3721395373603391
3.8,0.4682266919623912
3.9,0.40454462686322845
4.0,0.20842244920630587
4.1,-0.03822553759675515
4.2,-0.23411253136850296
4.3,-0.30277855848304475
4.4,-0.22612292783657542
4.5,-0.05213113529955958
4.6,0.1269363370811504
4.7,0.2164201508436382
4.8,0.16267043557978988
4.9,-0.021358671576118995
5.0,-0.25985256516917193
5.1,-0.44578612752077035
5.2,-0.48675754420594214
5.3,-0.3451265708671132
5.4,-0.0552294048826662
5.5,0.28939538457772734
5.6,0.5727965049010071
5.7,0.701356177392879
5.8,0.6376759496020885
5.9,0.4103293492071288
6.0,0.09727222877507563
6.1,-0.20789054435293092
6.2,-0.4309677481525767
6.3,-0.5386788316708311
6.4,-0.5393037317977288
6.5,-0.4655924568105306
6.6,-0.3511417951384268
6.7,-0.21348032042564613
6.8,-0.05234792126252467
6.9,0.1372706335473112
7.0,0.34626480296178186
7.1,0.5392204122293451
7.2,0.6583711909694775
7.3,0.6446619224534544
7.4,0.46731091369060723
7.5,0.1474015705028255
7.6,-0.23787332438639897
7.7,-0.5757303845744985
7.8,-0.7571236333869944
7.9,-0.7194330854725631
8.0,-0.4740908369294086
8.1,-0.10604525528717519
8.2,0.2564435938684936
8.3,0.4903364710266329
8.4,0.5249961512915943
8.5,0.36839092977961246
8.6,0.1013206762172226
8.7,-0.1578033303174859
8.8,-0.302572767461212
8.9,-0.2815427258478552
9.0,-0.11664946384328062
9.1,0.1099294465863242
9.2,0.2937589231682158
9.3,0.353759847268145
9.4,0.26553255251993524
9.5,0.0685796783825684
9.6,-0.15439584588319505
9.7,-0.31558272954596217
9.8,-0.3598148446350462
9.9,-0.28529384248346046
10.0,-0.13910327411127518
10.1,0.008803548434386327
10.2,0.09980027206306766
10.3,0.1125401741605723
10.4,0.06892801162205375
10.5,0.018398170698622734
10.6,0.009263591226173068
10.7,0.06185584409814471
10.8,0.15688259807871316
10.9,0.2446535786072892
11.0,0.2704210811551089
11.1,0.20310926622603578
11.2,0.053014460866613974
11.3,-0.13055652154834282
11.4,-0.28090494548483635
11.5,-0.34449917080986436
11.6,-0.3056138777869112
11.7,-0.1928789966162667
11.8,-0.06427326275665296
11.9,0.02233148064875512
12.0,0.038652304840141205
12.1,0.0006592833798898107
12.2,-0.03956219026208857
12.3,-0.021710241857595125
12.4,0.08809736611388383
12.5,0.27305854968851684
